session_id,timestamp,game_mode,avatar_gender,item_type,item_height_level,item_x_spawn,hand_max_y_pixel,hand_max_x_pixel,hand_min_x_pixel,reaction_time_sec,outcome,score_change,tremor_score,session_score_final,session_duration_sec
20260416_114931,2026-04-16 11:49:45,full_range,male,banana,2,569,484,642,640,8.03,missed,0,0.0,0,14.1
20260416_114931,2026-04-16 11:49:46,full_range,male,apple,3,959,481,1027,658,1.51,caught,10,24.57,10,15.6
20260416_114931,2026-04-16 11:49:48,full_range,male,apple,3,570,497,919,573,1.31,caught,10,16.9,20,16.9
20260416_114931,2026-04-16 11:49:49,full_range,male,orange,2,830,587,967,642,1.54,caught,10,20.68,30,18.4
20260416_114931,2026-04-16 11:49:51,full_range,male,orange,1,457,678,803,404,1.21,caught,10,33.65,40,19.7
20260416_114931,2026-04-16 11:49:59,full_range,male,fish_bone,2,938,481,659,653,8.01,avoided,5,0.0,45,28.4
20260416_114931,2026-04-16 11:50:01,full_range,male,orange,2,569,684,653,514,1.34,caught,10,7.48,55,29.7
20260416_114931,2026-04-16 11:50:02,full_range,male,orange,3,807,560,783,692,1.65,caught,10,9.77,65,31.4
20260416_114931,2026-04-16 11:50:05,full_range,male,banana,3,332,531,490,244,2.47,caught,10,20.01,75,33.9
20260416_114931,2026-04-16 11:50:13,full_range,male,fish_bone,3,983,462,642,613,8.0,avoided,5,0.0,80,41.9
20260416_114931,2026-04-16 11:50:21,full_range,male,fish_bone,3,861,448,782,706,8.02,avoided,5,0.0,85,49.9
20260416_114931,2026-04-16 11:50:29,full_range,male,bomb,2,731,464,649,642,8.01,avoided,5,0.0,90,57.9
20260416_114931,2026-04-16 11:50:30,full_range,male,apple,3,449,480,645,406,1.04,caught,10,30.13,100,58.9
20260416_114931,2026-04-16 11:50:38,full_range,male,fish_bone,3,738,451,806,706,8.02,avoided,5,0.0,105,67.0
20260416_114931,2026-04-16 11:50:40,full_range,male,apple,3,715,508,694,585,2.28,caught,10,15.33,115,69.2
20260416_114931,2026-04-16 11:50:48,full_range,male,fish_bone,2,357,446,639,615,8.02,avoided,5,0.0,120,77.3
20260416_114931,2026-04-16 11:50:49,full_range,male,orange,3,760,444,780,627,0.94,caught,10,20.16,130,78.2
20260416_114931,2026-04-16 11:50:51,full_range,male,orange,1,486,667,779,493,1.01,caught,10,19.22,140,79.8
20260416_114931,2026-04-16 11:50:52,full_range,male,banana,3,435,582,660,429,1.34,caught,10,13.79,150,81.1
20260416_114931,2026-04-16 11:51:00,full_range,male,bomb,3,861,483,700,545,8.02,avoided,5,0.0,155,89.1
20260416_114931,2026-04-16 11:51:01,full_range,male,apple,3,836,474,837,612,0.84,caught,10,19.31,165,90.0
20260416_114931,2026-04-16 11:51:09,full_range,male,fish_bone,2,905,464,686,656,8.02,avoided,5,0.0,170,98.0
20260416_114931,2026-04-16 11:51:17,full_range,male,fish_bone,4,981,530,764,380,8.03,avoided,5,0.0,175,106.1
20260416_114931,2026-04-16 11:51:25,full_range,male,bomb,3,886,468,703,616,8.02,avoided,5,0.0,180,114.3
20260416_114931,2026-04-16 11:51:27,full_range,male,banana,2,988,606,939,838,1.78,caught,10,3.51,190,116.1
20260416_114931,2026-04-16 11:51:28,full_range,male,orange,3,941,640,947,821,1.31,caught,10,15.38,200,117.4
20260416_114931,2026-04-16 11:51:36,full_range,male,bomb,2,351,437,703,694,8.0,avoided,5,0.0,205,125.4
